targetA.tStart,targetA.frameNStart,targetA.tEnd,targetA.frameNEnd,targetB.tStart,targetB.frameNStart,targetB.tEnd,targetB.frameNEnd,target_preference,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trial_id,fixateStartTime,fixateDuration,targetStartTime,targetDuration,colour1,colour2,participant,session,date,expName,psychopyVersion,OS,frameRate
2.011,121,2.511,151,2.011,121,2.511,151,5,0,0,0,58,1,59,0.5,1,2,0.5,#005692,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.003,121,2.503,151,2.003,121,2.503,151,5,0,1,1,61,1,62,0.5,1,2,0.5,#006a8b,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.012,122,2.512,152,2.012,122,2.512,152,2,0,2,2,27,1,28,0.5,1,2,0.5,#c7512c,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,2,0,3,3,18,1,19,0.5,1,2,0.5,#db8b08,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.516,152,2,121,2.516,152,3,0,4,4,46,1,47,0.5,1,2,0.5,#753a7a,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.5,151,2.016,122,2.5,151,1,0,5,5,17,1,18,0.5,1,2,0.5,#db8b08,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,1,0,6,6,53,1,54,0.5,1,2,0.5,#4b488e,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,4,0,7,7,12,1,13,0.5,1,2,0.5,#db8b08,#c13547,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,7,0,8,8,24,1,25,0.5,1,2,0.5,#c7512c,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,5,0,9,9,21,1,22,0.5,1,2,0.5,#c7512c,#c13547,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,2,0,10,10,50,1,51,0.5,1,2,0.5,#753a7a,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.515,152,2.016,122,2.515,152,1,0,11,11,35,1,36,0.5,1,2,0.5,#c13547,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,1,0,12,12,57,1,58,0.5,1,2,0.5,#005692,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.007,122,2.507,152,2.007,122,2.507,152,2,0,13,13,7,1,8,0.5,1,2,0.5,#d2b700,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,0,0,14,14,51,1,52,0.5,1,2,0.5,#4b488e,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.014,122,2.514,152,2.014,122,2.514,152,0,0,15,15,54,1,55,0.5,1,2,0.5,#4b488e,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,4,0,16,16,40,1,41,0.5,1,2,0.5,#a03663,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,3,0,17,17,36,1,37,0.5,1,2,0.5,#c13547,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
9.453,3,9.453,3,9.453,3,9.453,3,2,0,18,18,33,1,34,0.5,1,2,0.5,#c13547,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,2,0,19,19,11,1,12,0.5,1,2,0.5,#db8b08,#c7512c,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,0,0,20,20,49,1,50,0.5,1,2,0.5,#753a7a,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,1,0,21,21,25,1,26,0.5,1,2,0.5,#c7512c,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.014,122,2.514,152,2.014,122,2.514,152,2,0,22,22,34,1,35,0.5,1,2,0.5,#c13547,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,6,0,23,23,39,1,40,0.5,1,2,0.5,#a03663,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,4,0,24,24,64,1,65,0.5,1,2,0.5,#007b75,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.002,121,2.501,151,2.002,121,2.501,151,2,0,25,25,29,1,30,0.5,1,2,0.5,#c7512c,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,5,0,26,26,3,1,4,0.5,1,2,0.5,#d2b700,#a03663,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,2,0,27,27,47,1,48,0.5,1,2,0.5,#753a7a,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,2,0,28,28,42,1,43,0.5,1,2,0.5,#a03663,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,2,0,29,29,19,1,20,0.5,1,2,0.5,#db8b08,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.002,121,2.502,151,2.002,121,2.502,151,2,0,30,30,8,1,9,0.5,1,2,0.5,#d2b700,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,2,0,31,31,9,1,10,0.5,1,2,0.5,#d2b700,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.007,121,2.505,151,2.007,121,2.505,151,1,0,32,32,52,1,53,0.5,1,2,0.5,#4b488e,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,7,0,33,33,23,1,24,0.5,1,2,0.5,#c7512c,#753a7a,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,5,0,34,34,38,1,39,0.5,1,2,0.5,#a03663,#753a7a,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.004,121,2.505,151,2.004,121,2.505,151,2,0,35,35,44,1,45,0.5,1,2,0.5,#a03663,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,6,0,36,36,5,1,6,0.5,1,2,0.5,#d2b700,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,6,0,37,37,10,1,11,0.5,1,2,0.5,#d2b700,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,7,0,38,38,4,1,5,0.5,1,2,0.5,#d2b700,#753a7a,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.516,152,2,121,2.516,152,1,0,39,39,26,1,27,0.5,1,2,0.5,#c7512c,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.002,121,2.502,151,2.002,121,2.502,151,2,0,40,40,43,1,44,0.5,1,2,0.5,#a03663,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.005,121,2.505,151,2.005,121,2.505,151,2,0,41,41,37,1,38,0.5,1,2,0.5,#c13547,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.516,152,2,121,2.516,152,1,0,42,42,28,1,29,0.5,1,2,0.5,#c7512c,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.004,121,2.504,151,2.004,121,2.504,151,0,0,43,43,45,1,46,0.5,1,2,0.5,#753a7a,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,2,0,44,44,1,1,2,0.5,1,2,0.5,#d2b700,#c7512c,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,6,0,45,45,22,1,23,0.5,1,2,0.5,#c7512c,#a03663,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,7,0,46,46,30,1,31,0.5,1,2,0.5,#c13547,#a03663,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.014,122,2.514,152,2.014,122,2.514,152,0,0,47,47,55,1,56,0.5,1,2,0.5,#4b488e,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.005,121,2.505,151,2.005,121,2.505,151,7,0,48,48,14,1,15,0.5,1,2,0.5,#db8b08,#753a7a,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.017,122,2.5,151,2.017,122,2.5,151,1,0,49,49,65,1,66,0.5,1,2,0.5,#008a52,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,7,0,50,50,6,1,7,0.5,1,2,0.5,#d2b700,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,7,0,51,51,15,1,16,0.5,1,2,0.5,#db8b08,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.002,121,2.502,151,2.002,121,2.502,151,0,0,52,52,20,1,21,0.5,1,2,0.5,#db8b08,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,7,0,53,53,31,1,32,0.5,1,2,0.5,#c13547,#753a7a,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,54,2.516,84,2.016,54,2.516,84,6,0,54,54,32,1,33,0.5,1,2,0.5,#c13547,#4b488e,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,7,0,55,55,60,1,61,0.5,1,2,0.5,#006a8b,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.515,152,2.015,122,2.515,152,5,0,56,56,63,1,64,0.5,1,2,0.5,#007b75,#008a52,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,1,0,57,57,16,1,17,0.5,1,2,0.5,#db8b08,#005692,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.014,122,2.515,152,2.014,122,2.515,152,6,0,58,58,13,1,14,0.5,1,2,0.5,#db8b08,#a03663,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.016,122,2.516,152,2.016,122,2.516,152,6,0,59,59,62,1,63,0.5,1,2,0.5,#006a8b,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.003,121,2.502,151,2.003,121,2.502,151,1,0,60,60,56,1,57,0.5,1,2,0.5,#005692,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2,121,2.5,151,2,121,2.5,151,7,0,61,61,0,1,1,0.5,1,2,0.5,#d2b700,#db8b08,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.517,152,2.015,122,2.517,152,1,0,62,62,41,1,42,0.5,1,2,0.5,#a03663,#006a8b,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.015,122,2.514,152,2.015,122,2.514,152,1,0,63,63,48,1,49,0.5,1,2,0.5,#753a7a,#007b75,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,7,0,64,64,59,1,60,0.5,1,2,0.5,#005692,#9aa400,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
2.001,121,2.501,151,2.001,121,2.501,151,7,0,65,65,2,1,3,0.5,1,2,0.5,#d2b700,#c13547,617663,001,2024-06-25_14h38.37.490,kana_colourPreferenceQualia,2022.2.5,iPad,58.82352941
